state_abbr,c_elec_score,c_gas_score,c_num_establishments,c_elec_1kdollars,c_elec_mwh,c_gas_1kdollars,c_gas_mcf,c_elec_lb_ghg,c_gas_lb_ghg,c_elec_class,c_gas_class
AK,8704.26,16971.31,30.74,292.02,2113.57,10.44,1560.22,10054472.28,187285.78,Normal,Normal
AR,7924.79,14875.81,39.00,487.94,5655.29,88.83,12644.60,8935360.23,1517887.92,Normal,Normal
AZ,19080.65,35856.38,82.21,1029.13,9711.83,170.00,24137.03,14141811.07,2897463.80,Normal,Normal
CA,14894.81,28389.40,94.55,1049.23,12000.96,209.79,33395.06,18015131.32,4008818.04,Normal,Normal
CO,12793.77,23601.80,56.46,715.84,6643.10,97.92,17397.56,10816185.53,2088445.66,Normal,Normal
CT,21120.90,38666.90,113.19,1168.96,11525.35,124.35,19287.12,18860531.46,2315262.10,Normal,Normal
DC,8909.97,17040.76,88.11,1140.89,9893.22,172.22,20648.67,18414575.89,2478710.22,Normal,Normal
DE,13351.90,22097.25,73.16,919.51,8905.94,70.42,11227.79,13300103.55,1347811.67,Normal,Normal
GA,8197.30,16709.10,52.62,517.66,5258.21,69.62,6201.69,8325773.83,744463.55,Normal,Normal
HI,22749.17,10168.81,33.60,340.00,3381.40,9.40,1404.20,4950102.00,168557.20,Normal,Normal
IA,5929.50,12169.02,37.41,311.78,3284.78,83.22,12429.29,3805053.61,1492041.82,Normal,Normal
ID,7071.89,14920.12,45.16,429.99,5152.27,96.20,13444.38,6427026.68,1613899.45,Normal,Normal
IL,9818.23,18740.06,53.62,676.81,7315.75,106.26,14808.84,10332285.32,1777689.93,Normal,Normal
IN,8435.61,15359.74,56.20,662.06,6335.20,104.28,15148.60,9591400.51,1818473.87,Normal,Normal
KS,7281.90,15370.62,37.71,553.78,5083.50,69.48,10085.29,8773573.92,1210665.74,Normal,Normal
KY,9423.76,17951.10,57.93,829.26,8524.49,117.01,15847.61,12843973.58,1902386.80,Normal,Normal
LA,9150.30,17236.82,52.03,704.56,7222.08,110.42,14088.66,11203903.73,1691239.13,Normal,Normal
MA,17455.38,31316.31,108.76,1103.28,12267.83,118.12,20873.87,17982644.03,2505743.23,Normal,Normal
MD,10485.62,18935.47,55.05,770.65,7278.70,103.73,13075.07,12572096.17,1569561.35,Normal,Normal
ME,15022.82,27354.00,49.25,508.28,4704.68,47.03,5922.43,5705862.72,710941.93,Normal,Normal
MI,8973.43,16258.28,65.66,874.72,8231.40,106.49,15578.17,11292518.28,1870042.77,Normal,Normal
MN,9377.82,18070.73,49.29,586.54,5567.26,86.28,12316.15,7498105.48,1478460.88,Normal,Normal
MO,9556.83,17653.77,54.09,673.26,7337.13,10.36,1217.96,7849480.09,146205.05,Normal,Normal
MS,11176.03,21649.03,61.30,793.24,7156.35,92.97,12526.34,11020157.99,1503692.66,Normal,Normal
MT,8780.89,19337.17,43.54,614.57,5892.91,109.03,14889.64,7178722.32,1787387.46,Normal,Normal
ND,4548.75,9283.06,19.53,364.15,4127.38,29.18,5334.94,4779374.55,640417.60,Normal,Normal
NE,5655.49,11771.30,28.96,300.22,3155.28,27.46,4467.89,3891043.07,536336.41,Normal,Normal
NH,20209.24,38135.95,79.76,799.57,7848.74,71.58,9969.86,9940126.83,1196805.24,Normal,Normal
NJ,17976.81,34960.23,98.98,1381.96,12082.47,213.95,29830.84,20962547.17,3580960.08,Normal,Normal
NM,12503.01,23555.67,59.00,767.14,7897.41,106.21,17565.07,12480885.26,2108557.36,Normal,Normal
NV,15023.86,36680.28,79.91,942.73,9335.05,119.00,16177.77,14719482.50,1942003.32,Normal,Normal
NY,17343.83,31284.40,69.11,743.79,7172.68,99.28,14775.16,11932545.31,1773644.76,Normal,Normal
OH,11227.48,21398.65,65.95,775.80,7524.09,130.86,20170.71,11422728.03,2421340.70,Normal,Normal
OK,8546.03,16960.44,38.49,473.84,5469.44,78.21,11421.23,9775417.47,1371035.00,Normal,Normal
OR,12922.79,23431.07,71.89,875.04,8274.09,128.47,15893.46,12650337.97,1907889.61,Normal,Normal
PA,14272.48,25111.37,73.89,798.39,8332.09,167.98,23875.34,13853936.51,2866054.19,Normal,Normal
RI,22923.44,46780.18,119.98,1174.05,12226.27,122.05,18006.37,21062783.61,2161523.32,Normal,Normal
SD,6532.75,13775.71,28.53,398.45,4192.85,39.43,5939.45,5571474.88,712985.50,Normal,Normal
TN,12766.84,23551.14,70.51,904.36,9083.50,75.51,9810.36,13624538.07,1177654.55,Normal,Normal
TX,11327.31,20722.39,57.59,773.17,7891.43,103.78,15638.81,11773244.22,1877322.39,Normal,Normal
UT,10940.08,20751.06,53.05,649.79,6207.57,133.87,18145.35,9728837.15,2178207.93,Normal,Normal
VA,9408.24,16491.54,60.47,875.95,10743.73,147.96,22046.42,14553158.29,2646499.05,Normal,Normal
VT,16545.50,27533.92,55.11,571.38,5031.49,9.81,1382.12,6324178.97,165912.21,Normal,Normal
WA,13763.65,25486.35,70.93,979.39,10562.48,127.07,17923.94,15283400.19,2151634.00,Normal,Normal
WI,9924.73,19082.80,56.00,655.24,6170.74,128.30,18727.58,8950371.59,2248106.51,Normal,Normal
WY,11715.60,23875.48,44.46,787.68,8120.57,79.04,12379.54,10020989.94,1486072.82,Normal,Normal
