state_abbr,r_elec_score,r_gas_score,r_num_establishments,r_elec_1kdollars,r_elec_mwh,r_gas_1kdollars,r_gas_mcf,r_elec_lb_ghg,r_gas_lb_ghg,r_elec_class,r_gas_class
AK,,,,932.84,4309.60,241.76,23424.32,6130005.09,2811920.58,Normal,Normal
AL,,,,3368.16,23489.06,574.50,43266.05,37260061.48,5193776.02,Normal,Normal
AR,,,,1784.99,14401.01,523.92,46159.63,23255306.80,5541125.97,Normal,Normal
AZ,,,,11278.77,63469.15,3113.15,226015.53,89300836.43,27131510.35,Normal,Normal
CA,,,,15692.22,77292.34,6210.54,527718.98,109019618.37,63348812.64,Normal,Normal
CO,,,,3545.82,21572.79,1722.30,199849.37,35126390.91,23990466.56,Normal,Normal
CT,,,,11332.28,54570.91,2949.89,231248.40,64857852.56,27759683.02,Normal,Normal
DC,,,,9717.89,45199.12,4774.31,436854.34,74352312.47,52441212.01,Normal,Normal
DE,,,,3033.85,19888.98,648.55,57270.64,36789775.82,6874924.23,Normal,Normal
FL,,,,9186.03,57302.86,388.97,19361.69,84143817.80,2324231.28,Normal,Normal
GA,,,,3665.32,25562.74,1099.00,79156.52,39829631.35,9502163.69,Normal,Normal
HI,,,,29672.96,116373.17,4339.60,118956.60,178374599.49,14279857.20,Very High,Normal
IA,,,,1182.33,8486.85,451.87,52094.23,9949794.56,6253532.35,Normal,Normal
ID,,,,1983.65,15737.30,690.99,78890.97,20896084.53,9470285.50,Normal,Normal
IL,,,,2759.35,20277.68,1508.50,200714.21,28866879.43,24094276.87,Normal,Normal
IN,,,,3186.99,21954.95,1173.33,137469.12,35726746.78,16502162.93,Normal,Normal
KS,,,,1565.00,9965.96,609.90,59068.01,17018633.17,7090684.05,Normal,Normal
KY,,,,2381.48,19522.38,631.54,61513.17,31734111.32,7384209.05,Normal,Normal
LA,,,,2710.83,22128.96,582.55,48154.76,36503894.89,5780628.87,Normal,Normal
MA,,,,8777.94,43480.27,3372.73,271613.37,49844778.92,32605202.57,Normal,Normal
MD,,,,3646.62,22579.21,877.80,78471.30,39690340.36,9419908.79,Normal,Normal
ME,,,,1200.53,7549.70,78.36,5633.38,8193445.38,676247.66,Normal,Normal
MI,,,,3170.75,18073.34,1697.62,188429.53,24930820.27,22619594.45,Normal,Normal
MN,,,,1981.68,13877.27,852.04,102467.39,16129696.44,12300460.51,Normal,Normal
MO,,,,1920.59,14537.20,761.86,69067.07,17239221.80,8290998.21,Normal,Normal
MS,,,,2699.02,22832.25,525.98,52213.46,36349972.07,6267842.54,Normal,Normal
MT,,,,1623.49,12361.29,686.59,87798.73,16052013.48,10539596.44,Normal,Normal
NC,,,,3755.54,27449.43,819.61,71845.20,36339086.67,8624493.20,Normal,Normal
ND,,,,776.16,5942.47,193.52,26090.73,7130004.31,3132001.14,Normal,Normal
NE,,,,1029.16,8189.99,399.40,47820.31,9924843.56,5740479.66,Normal,Normal
NH,,,,3070.69,16149.91,564.14,42076.56,18035779.54,5050982.44,Normal,Normal
NJ,,,,7731.62,45208.11,3315.58,379636.25,81335248.99,45572562.26,Normal,Normal
NM,,,,3343.64,22731.17,1336.30,150276.31,33610260.27,18039576.46,Normal,Normal
NV,,,,12049.31,69030.90,6236.83,553593.25,96546463.28,66454841.85,Normal,Normal
NY,,,,4252.36,25821.72,1854.56,183257.96,43835835.21,21998781.09,Normal,Normal
OH,,,,3245.95,23817.63,1379.04,149779.30,39297796.93,17979912.18,Normal,Normal
OK,,,,1852.95,14699.97,618.64,57274.92,28142965.17,6875436.27,Normal,Normal
OR,,,,3962.56,28427.02,1193.85,103558.42,37256366.04,12431430.92,Normal,Normal
PA,,,,3324.70,22440.84,938.08,98670.83,40310958.25,11844711.73,Normal,Normal
RI,,,,11613.37,58325.09,4377.09,335610.55,67385962.26,40287595.43,Normal,Normal
SC,,,,3840.74,25521.86,647.12,51280.63,33673796.39,6155869.24,Normal,Normal
SD,,,,931.41,6946.86,278.32,32766.49,8234433.42,3933376.39,Normal,Normal
TN,,,,4160.51,30547.14,608.79,65222.84,48942325.21,7829525.15,Normal,Normal
TX,,,,4387.99,29132.49,959.77,80765.96,42422056.86,9695363.42,Normal,Normal
UT,,,,3240.86,23738.15,1946.34,202975.89,30970063.97,24365774.06,Normal,Normal
VA,,,,4726.73,30520.85,1291.87,113365.17,44740025.30,13608666.47,Normal,Normal
VT,,,,1271.08,7327.55,204.46,14594.89,8236641.98,1752010.07,Normal,Normal
WA,,,,5358.24,39734.95,1826.69,167438.85,52909753.97,20099811.10,Normal,Normal
WI,,,,2172.27,14134.73,921.90,111275.91,20208864.94,13357862.75,Normal,Normal
WV,,,,1637.69,13007.32,483.47,51629.35,21908196.18,6197729.55,Normal,Normal
WY,,,,1661.56,13854.21,767.58,89901.69,20360115.65,10792045.12,Normal,Normal
