electricity_use,natural_gas_use,weight_of_elec,weight_of_gas,naics_3,business
395578,453915.0,0.00199885348563827,0.0007027594163584402,492,Couriers and Messengers
1436340,1362543.0,0.007257818219318752,0.00210951372711472,622,Hospitals
97350,193825.0,0.0004919090212976596,0.0003000833721636753,623,Nursing and Residential Care Facilities
316667,299387.0,0.001600116631199445,0.0004635163706537663,713,"Amusement, Gambling, and Recreation Industries"
35565,32620.0,0.00017970975184849783,5.050287424212092e-05,624,Social Assistance
2805,3342.0,1.4173649766203753e-05,5.174144871770942e-06,621,Ambulatory Health Care Services
338595,259670.0,0.0017109186961097181,0.00040202579259508096,721,Accommodation
1707227,1720850.0,0.008626608759146786,0.002664251107895579,485,Transit and Ground Passenger Transportation
15897,7765.0,8.032745466429271e-05,1.2021913503680839e-05,722,Food Services and Drinking Places
46167,72674.0,0.00023328160026963587,0.00011251520179864794,515,Broadcasting (except Internet)
4272,3888.0,2.158639279900978e-05,6.019471951360091e-06,611,Educational Services
80319,29221.0,0.00040585147079205675,4.52404809389643e-05,493,Warehousing and Storage
2814969,1305767.0,0.014224023069062678,0.0020216120965822044,423,"Merchant Wholesalers, Durable Goods"
5970,7448.0,3.016637757726788e-05,1.1531128367728897e-05,445,Food and Beverage Stores
657474,1044402.0,0.0033222125512959166,0.0016169620743169705,488,Support Activities for Transportation
509803,617391.0,0.00257603179028876,0.0009558559175725713,453,Miscellaneous Store Retailers
50370,81681.0,0.00025451933644338073,0.00012646000217567992,551,Management of Companies and Enterprises
507720,641834.0,0.002565506402601415,0.0009936990124560835,454,Nonstore Retailers
994410,1397096.0,0.005024748329415569,0.0021630093069334817,562,Waste Management and Remediation Services
28614,40686.0,0.00014458638659898545,6.299080139224193e-05,524,Insurance Carriers and Related Activities
36450,44163.0,0.00018418165204211293,6.837395570676843e-05,518,"Data Processing, Hosting, and Related Services"
408095,626207.0,0.0020621018186591515,0.0009695050082935567,532,Rental and Leasing Services
2647802,2853859.0,0.013379329125937194,0.004418396142910637,452,General Merchandise Stores
3998484,3871660.0,0.020204317936459694,0.0059941740676961956,424,"Merchant Wholesalers, Nondurable Goods"
455025,532484.0,0.0022992388537849775,0.0008244013638240809,711,"Performing Arts, Spectator Sports, and Related Industries"
200438,309818.0,0.0010128121254325661,0.0004796658335973458,511,Publishing Industries (except Internet)
391093,483235.0,0.0019761908049960512,0.0007481531708887585,512,Motion Picture and Sound Recording Industries
1119317,1140691.0,0.005655902722052722,0.0017660384464168962,517,Telecommunications
973531,1168829.0,0.004919246855808237,0.0018096022071595326,444,Building Material and Garden Equipment and Supplies Dealers
381165,410461.0,0.0019260246749144576,0.000635483147280662,441,Motor Vehicle and Parts Dealers
1267270,1410676.0,0.006403508427528353,0.0021840341086565964,521,Monetary Authorities-Central Bank
5482,9874.0,2.770051622756826e-05,1.5287105464951013e-05,487,Scenic and Sightseeing Transportation
74160,58936.0,0.00037473007724123715,9.12457816166045e-05,484,Truck Transportation
155831,123621.0,0.0007874131966906585,0.00019139226905840682,425,Wholesale Electronic Markets and Agents and Brokers
34384,46438.0,0.000173742165262442,7.189615187172322e-05,531,Real Estate
273990,257702.0,0.0013844699819758168,0.00039897889938513324,451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores"
126637,221742.0,0.0006398960732416202,0.0003433049767074303,813,"Religious, Grantmaking, Civic, Professional, and Similar Organizations"
1065496,892406.0,0.005383945501351527,0.0013816391168275342,712,"Museums, Historical Sites, and Similar Institutions"
179783,161786.0,0.0009084425226087021,0.00025048001263445053,541,"Professional, Scientific, and Technical Services"
634771,1368507.0,0.0032074944155946247,0.0021187472998302325,519,Other Information Services
3419575,5939274.0,0.01727909390348171,0.009195291474907986,483,Water Transportation
2748363,11976501.0,0.013887463312796094,0.01854223555682512,523,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities"
136614731,513114245.0,0.6903134937961278,0.7944127586473275,448,Clothing and Clothing Accessories Stores
22822128,73210464.0,0.11532008883831447,0.11334576507048807,447,Gasoline Stations
660733,1326155.0,0.003338680260596472,0.0020531771670925774,481,Air Transportation
406066,475496.0,0.0020518492926785356,0.0007361715110555344,522,Credit Intermediation and Related Activities
119474,55305.0,0.0006037014731434678,8.562420171552721e-05,561,Administrative and Support Services
1730249,2386871.0,0.008742938800115606,0.0036953968714029863,811,Repair and Maintenance
4241254,9926376.0,0.021431033427989566,0.01536819493586779,446,Health and Personal Care Stores
616092,1771546.0,0.0031131095300392163,0.0027427395724136223,486,Pipeline Transportation
6043,17018.0,3.053524618080901e-05,2.634757553195628e-05,812,Personal and Laundry Services
10542,22105.0,5.3268668746994636e-05,3.422336097860463e-05,442,Furniture and Home Furnishings Stores
31883,113376.0,0.00016110462584523145,0.00017553077468040164,443,Electronics and Appliance Stores
