business,electricity_use_per_establishment,natural_gas_use_per_establishment,building_num,mean_elec,mean_gas
Apparel Manufacturing,196945.0,946882.0,4791,41.10728449175537,197.63765393446045
Beverage and Tobacco Product Manufacturing,5076746.0,22063462.0,6573,772.3636087022669,3356.680663319641
Chemical Manufacturing,38925811.0,385128633.0,11509,3382.206186462768,33463.25771135633
Computer and Electronic Product Manufacturing,8675361.0,12050301.0,11631,745.8826412174361,1036.0502966210988
"Electrical Equipment, Appliance, and Component Manufacturing",7243852.0,24504865.0,8105,893.7510178901913,3023.425663170882
Fabricated Metal Product Manufacturing,3816396.0,18650894.0,22589,168.94931161184647,825.662667670105
Food Manufacturing,14386545.0,107852676.0,16662,863.4344616492618,6472.972992437883
Furniture and Related Product Manufacturing,1585559.0,4277777.0,13110,120.94271548436308,326.2987795575896
Leather and Allied Product Manufacturing,286443.0,2743024.0,2321,123.41361482119775,1181.8285221887118
Machinery Manufacturing,5837064.0,18029115.0,15633,373.3809249664172,1153.2728842832469
Miscellaneous Manufacturing,2025032.0,6084762.0,16873,120.01612042908789,360.62122918271797
Nonmetallic Mineral Product Manufacturing,9602874.0,72707988.0,13064,735.0638395590937,5565.522657685242
Paper Manufacturing,32981334.0,297822997.0,5905,5585.323285351397,50435.73192209991
Petroleum and Coal Products Manufacturing,42335498.0,770995953.0,4217,10039.245435143466,182830.43704055017
Plastics and Rubber Products Manufacturing,12969549.0,29396824.0,11120,1166.3263489208632,2643.5992805755395
Primary Metal Manufacturing,75150188.0,363958648.0,6168,12183.88261997406,59007.56290531777
Printing and Related Support Activities,2369775.0,5617911.0,15807,149.91933953311823,355.4065287530841
Textile Mills,3643369.0,15985120.0,4225,862.3358579881657,3783.460355029586
Textile Product Mills,576037.0,890970.0,8183,70.39435414884517,108.88060613466943
Transportation Equipment Manufacturing,12962977.0,49919086.0,9721,1333.5024174467646,5135.180125501492
Wood Product Manufacturing,3163092.0,6823402.0,12236,258.5070284406669,557.6497221314155
